Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200416,S92000003,2,86,1665,153.556138833195,12,231,21.3041850273081,5775,532.604625682702
20200416,S92000003,3,69,1395,128.361908810596,3,175,16.1027484170998,5588,514.183760884308
20200416,S92000003,4,87,1478,134.889336897527,10,146,13.3246570954255,5610,511.995385652995
20200416,S92000003,5,61,1434,131.951735478178,6,116,10.673920024734,5579,513.360343258545
20200417,S92000003,1,96,1872,172.604399383714,12,277,25.5402877293209,6502,599.505237603049
20200417,S92000003,2,88,1753,161.672018843598,8,239,22.0419923009811,6010,554.277714346847
20200417,S92000003,3,59,1454,133.790835419789,4,179,16.4708112380621,5791,532.862949048144
20200417,S92000003,4,91,1569,143.194431388511,8,154,14.0547752924352,5827,531.799841746881
20200417,S92000003,5,57,1491,137.196678938607,5,121,11.1340027844209,5741,528.267024672398
20200418,S92000003,1,61,1933,178.228794876452,15,292,26.9233358013058,6695,617.300456129254
20200418,S92000003,2,64,1817,167.574477032982,9,248,22.8720254838632,6214,573.091799825509
20200418,S92000003,3,51,1505,138.483636387059,6,185,17.0229054695055,5932,545.837163487064
20200418,S92000003,4,47,1616,147.483875795943,16,170,15.5150116864544,5958,543.755527222913
20200418,S92000003,5,41,1532,140.969357568039,5,126,11.5940855441077,5872,540.321192976192
20200419,S92000003,1,44,1977,182.285735887608,16,308,28.3985870780897,6853,631.868562487495
20200419,S92000003,2,41,1858,171.355739310556,14,262,24.163188212791,6368,587.294589843714
20200419,S92000003,3,30,1535,141.244107544276,4,189,17.3909682904678,6047,556.41896958973
20200419,S92000003,4,22,1638,149.491700837719,7,177,16.1538651088378,6072,554.1597115303
20200419,S92000003,5,22,1554,142.993721710661,3,129,11.8701351999198,5960,548.41864954668
20200420,S92000003,1,181,2158,198.97451595622601,19,327,30.1504479692705,7590,699.822324424352
20200420,S92000003,2,169,2027,186.941917966898,14,276,25.4543509417188,7034,648.717045376992
20200420,S92000003,3,114,1649,151.733897941701,8,197,18.1270939323924,6704,616.873287932784
20200420,S92000003,4,150,1788,163.18141703165,8,185,16.8839833058474,6821,622.517027725326
20200420,S92000003,5,149,1703,156.704187949328,12,141,12.9743338231681,6675,614.210484181895
20200421,S92000003,1,93,2251,207.549414002532,12,339,31.2568864268584,7839,722.780922419302
20200421,S92000003,2,84,2111,194.688894340465,14,290,26.7455136706465,7288,672.14242631611
20200421,S92000003,3,73,1722,158.451044424262,5,202,18.5871724585952,6936,638.220931548597
20200421,S92000003,4,60,1848,168.657303509222,8,193,17.614101502857,7043,642.777807692343
20200421,S92000003,5,88,1791,164.801644519816,11,152,13.9865158944791,6881,633.165893880991
20200422,S92000003,1,76,2327,214.556857567255,10,349,32.1789184748484,8110,747.767990919828
20200422,S92000003,2,75,2186,201.605837531149,7,297,27.3910950351104,7504,692.063222705281
20200422,S92000003,3,60,1782,163.971986738697,9,211,19.415313805760398,7173,660.028653690612
20200422,S92000003,4,71,1919,175.137102507682,12,205,18.7092787983715,7258,662.399734236976
20200422,S92000003,5,50,1841,169.402472116684,6,158,14.5386152061033,7093,652.673402891712
20200423,S92000003,1,75,2402,221.47209792718,12,361,33.2853569324363,8390,773.584888263546
20200423,S92000003,2,77,2263,208.707232540252,13,310,28.590031854829,7781,717.609799556209
20200423,S92000003,3,42,1824,167.836646358801,7,218,20.0594237424444,7390,679.996061727816
20200423,S92000003,4,55,1974,180.156665112123,11,216,19.7131913192597,7480,682.660514203993
20200423,S92000003,5,63,1904,175.199514888738,5,163,14.9986979657901,7292,670.984696727247
20200424,S92000003,1,74,2476,228.295135082305,5,366,33.7463729564312,8683,800.600427269651
20200424,S92000003,2,62,2325,214.425238911218,14,324,29.8811945837568,8018,739.467340038772
20200424,S92000003,3,63,1887,173.633635788956,7,225,20.7035336791284,7635,702.539909511755
20200424,S92000003,4,56,2030,185.267492491191,6,222,20.2607799670169,7705,703.195088494889
20200424,S92000003,5,50,1954,179.800342485606,6,169,15.5507972774143,7476,687.915742283722
20200425,S92000003,1,43,2519,232.259872888662,13,379,34.9450146188181,8863,817.19700413347
20200425,S92000003,2,51,2376,219.128760280883,13,337,31.0801314034754,8195,755.791325968787
20200425,S92000003,3,35,1922,176.854185472376,7,232,21.3476436158123,7800,717.72250087645
20200425,S92000003,4,29,2059,187.914170955351,6,228,20.8083686147741,7871,718.345041082838
20200425,S92000003,5,26,1980,182.192772835978,8,177,16.2869296929132,7598,699.14176162008
20200426,S92000003,1,32,2551,235.21037544223,12,391,36.051453076406,9039,833.424768178092
20200426,S92000003,2,49,2425,223.64782983213,9,346,31.9101645863576,8378,772.668667354057
20200426,S92000003,3,34,1956,179.982719450556,5,237,21.8077221420152,7950,731.524856662535
20200426,S92000003,4,36,2095,191.199702841894,9,237,21.6297515864099,8028,732.673610699152
